2024-12-30 16:50:06,223 - ERROR - Error loading checkpoint: module 'torch' has no attribute 'exists'
2024-12-30 16:50:06,232 - ERROR - Error loading checkpoint: module 'torch' has no attribute 'exists'
2024-12-30 16:52:46,687 - ERROR - Error loading checkpoint: module 'torch' has no attribute 'exists'
2024-12-30 16:52:46,694 - ERROR - Error loading checkpoint: module 'torch' has no attribute 'exists'
2024-12-30 17:21:39,237 - INFO - Batch 1-100: Trainer Wins: 58, Agent Wins: 30, Draws: 0, EPSILON: 1.0Trainer total reward: 4.86, Agent total reward:1.37 
2024-12-30 17:21:39,238 - INFO - Batch 1-100: Trainer Wins: 59, Agent Wins: 30, Draws: 0, EPSILON: 1.0Trainer total reward: 20.94, Agent total reward:-0.09999999999999999 
2024-12-30 17:21:39,601 - INFO - Batch 1-100: Trainer Wins: 59, Agent Wins: 31, Draws: 0, EPSILON: 1.0Trainer total reward: 24.9, Agent total reward:0.86 
2024-12-30 17:21:39,602 - INFO - Batch 1-100: Trainer Wins: 59, Agent Wins: 32, Draws: 0, EPSILON: 1.0Trainer total reward: 15.430000000000001, Agent total reward:1.41 
2024-12-30 17:21:39,660 - INFO - Batch 1-100: Trainer Wins: 59, Agent Wins: 33, Draws: 0, EPSILON: 1.0Trainer total reward: -0.12999999999999998, Agent total reward:1.3900000000000001 
2024-12-30 17:21:39,660 - INFO - Batch 1-100: Trainer Wins: 59, Agent Wins: 34, Draws: 0, EPSILON: 1.0Trainer total reward: -0.10999999999999999, Agent total reward:1.41 
2024-12-30 17:21:39,662 - INFO - Batch 1-100: Trainer Wins: 59, Agent Wins: 35, Draws: 0, EPSILON: 1.0Trainer total reward: 0.97, Agent total reward:0.96 
2024-12-30 17:21:39,747 - INFO - Batch 1-100: Trainer Wins: 60, Agent Wins: 35, Draws: 0, EPSILON: 1.0Trainer total reward: 0.89, Agent total reward:-0.10999999999999999 
2024-12-30 17:21:39,747 - INFO - Batch 1-100: Trainer Wins: 61, Agent Wins: 35, Draws: 0, EPSILON: 1.0Trainer total reward: 0.95, Agent total reward:-0.05 
2024-12-30 17:21:39,990 - INFO - Batch 1-100: Trainer Wins: 62, Agent Wins: 35, Draws: 0, EPSILON: 1.0Trainer total reward: 0.84, Agent total reward:-0.16 
2024-12-30 17:21:39,992 - INFO - Batch 1-100: Trainer Wins: 63, Agent Wins: 35, Draws: 0, EPSILON: 1.0Trainer total reward: 5.96, Agent total reward:-0.05 
2024-12-30 17:21:39,993 - INFO - Batch 1-100: Trainer Wins: 63, Agent Wins: 36, Draws: 0, EPSILON: 1.0Trainer total reward: -0.04, Agent total reward:5.98 
2024-12-30 17:21:39,993 - INFO - Batch 1-100: Trainer Wins: 63, Agent Wins: 37, Draws: 0, EPSILON: 1.0Trainer total reward: -0.07, Agent total reward:0.94 
2024-12-30 17:21:39,993 - INFO - Epsilon decayed to 0.99999
2024-12-30 17:22:16,229 - INFO - Batch 101-200: Trainer Wins: 64, Agent Wins: 37, Draws: 0, EPSILON: 0.99999Trainer total reward: 0.89, Agent total reward:-0.10999999999999999 
2024-12-30 17:22:16,229 - INFO - Batch 101-200: Trainer Wins: 65, Agent Wins: 37, Draws: 0, EPSILON: 0.99999Trainer total reward: 5.970000000000001, Agent total reward:-0.04 
2024-12-30 17:22:18,239 - INFO - Batch 101-200: Trainer Wins: 66, Agent Wins: 37, Draws: 0, EPSILON: 0.99999Trainer total reward: 10.880000000000003, Agent total reward:1.39 
